"MTU (UTC)","Generation - Solar  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Solar  [MW] Intraday / BZN|IE(SEM)","Generation - Solar  [MW] Current / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Offshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Current / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Onshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Current / BZN|IE(SEM)"
"14.02.2021 06:00 - 14.02.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","4764","n/e","n/e"
"14.02.2021 07:00 - 14.02.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","4777","n/e","n/e"
"14.02.2021 08:00 - 14.02.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","4787","n/e","n/e"
"14.02.2021 09:00 - 14.02.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","4772","n/e","n/e"
"14.02.2021 10:00 - 14.02.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","4741","n/e","n/e"
"14.02.2021 11:00 - 14.02.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","4731","n/e","n/e"
"14.02.2021 12:00 - 14.02.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","4692","n/e","n/e"
"14.02.2021 13:00 - 14.02.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","4516","n/e","n/e"
"14.02.2021 14:00 - 14.02.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","4270","n/e","n/e"
"14.02.2021 15:00 - 14.02.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","3923","n/e","n/e"
"14.02.2021 16:00 - 14.02.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","3474","n/e","n/e"
"14.02.2021 17:00 - 14.02.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","2999","n/e","n/e"
"14.02.2021 18:00 - 14.02.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","2609","n/e","n/e"
"14.02.2021 19:00 - 14.02.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","2366","n/e","n/e"
"14.02.2021 20:00 - 14.02.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","2239","n/e","n/e"
"14.02.2021 21:00 - 14.02.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","2194","n/e","n/e"
"14.02.2021 22:00 - 14.02.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","2192","n/e","n/e"
"14.02.2021 23:00 - 15.02.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","2229","n/e","n/e"
"15.02.2021 00:00 - 15.02.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","3066","n/e","n/e"
"15.02.2021 01:00 - 15.02.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","3122","n/e","n/e"
"15.02.2021 02:00 - 15.02.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","3117","n/e","n/e"
"15.02.2021 03:00 - 15.02.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","2972","n/e","n/e"
"15.02.2021 04:00 - 15.02.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","2866","n/e","n/e"
"15.02.2021 05:00 - 15.02.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","2817","n/e","n/e"
"15.02.2021 06:00 - 15.02.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","2832","n/e","n/e"
"15.02.2021 07:00 - 15.02.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","2930","n/e","n/e"
"15.02.2021 08:00 - 15.02.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","3031","n/e","n/e"
"15.02.2021 09:00 - 15.02.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","3138","n/e","n/e"
"15.02.2021 10:00 - 15.02.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","3197","n/e","n/e"
"15.02.2021 11:00 - 15.02.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","3202","n/e","n/e"
"15.02.2021 12:00 - 15.02.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","3123","n/e","n/e"
"15.02.2021 13:00 - 15.02.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","2993","n/e","n/e"
"15.02.2021 14:00 - 15.02.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","2829","n/e","n/e"
"15.02.2021 15:00 - 15.02.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","2616","n/e","n/e"
"15.02.2021 16:00 - 15.02.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","2420","n/e","n/e"
"15.02.2021 17:00 - 15.02.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","2337","n/e","n/e"
"15.02.2021 18:00 - 15.02.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","2376","n/e","n/e"
"15.02.2021 19:00 - 15.02.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","2502","n/e","n/e"
"15.02.2021 20:00 - 15.02.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","2687","n/e","n/e"
"15.02.2021 21:00 - 15.02.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","2905","n/e","n/e"
"15.02.2021 22:00 - 15.02.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","3146","n/e","n/e"
"15.02.2021 23:00 - 16.02.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","3377","n/e","n/e"
"16.02.2021 00:00 - 16.02.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","4780","n/e","n/e"
"16.02.2021 01:00 - 16.02.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","4780","n/e","n/e"
"16.02.2021 02:00 - 16.02.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","4744","n/e","n/e"
"16.02.2021 03:00 - 16.02.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","4623","n/e","n/e"
"16.02.2021 04:00 - 16.02.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","4509","n/e","n/e"
"16.02.2021 05:00 - 16.02.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","4343","n/e","n/e"
"16.02.2021 06:00 - 16.02.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","4148","n/e","n/e"
"16.02.2021 07:00 - 16.02.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","3942","n/e","n/e"
"16.02.2021 08:00 - 16.02.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","3674","n/e","n/e"
"16.02.2021 09:00 - 16.02.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","3405","n/e","n/e"
"16.02.2021 10:00 - 16.02.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","3197","n/e","n/e"
"16.02.2021 11:00 - 16.02.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","3058","n/e","n/e"
"16.02.2021 12:00 - 16.02.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","2942","n/e","n/e"
"16.02.2021 13:00 - 16.02.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","2825","n/e","n/e"
"16.02.2021 14:00 - 16.02.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","2658","n/e","n/e"
"16.02.2021 15:00 - 16.02.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","2428","n/e","n/e"
"16.02.2021 16:00 - 16.02.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","2152","n/e","n/e"
"16.02.2021 17:00 - 16.02.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","1934","n/e","n/e"
"16.02.2021 18:00 - 16.02.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","1887","n/e","n/e"
"16.02.2021 19:00 - 16.02.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","1992","n/e","n/e"
"16.02.2021 20:00 - 16.02.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","2181","n/e","n/e"
"16.02.2021 21:00 - 16.02.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","2423","n/e","n/e"
"16.02.2021 22:00 - 16.02.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","2615","n/e","n/e"
"16.02.2021 23:00 - 17.02.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","2786","n/e","n/e"
"17.02.2021 00:00 - 17.02.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","3948","n/e","n/e"
"17.02.2021 01:00 - 17.02.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","4085","n/e","n/e"
"17.02.2021 02:00 - 17.02.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","4144","n/e","n/e"
"17.02.2021 03:00 - 17.02.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","4055","n/e","n/e"
"17.02.2021 04:00 - 17.02.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","3903","n/e","n/e"
"17.02.2021 05:00 - 17.02.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","3698","n/e","n/e"
"17.02.2021 06:00 - 17.02.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","3475","n/e","n/e"
"17.02.2021 07:00 - 17.02.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","3281","n/e","n/e"
"17.02.2021 08:00 - 17.02.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","3112","n/e","n/e"
"17.02.2021 09:00 - 17.02.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","3029","n/e","n/e"
"17.02.2021 10:00 - 17.02.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","3001","n/e","n/e"
"17.02.2021 11:00 - 17.02.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","2966","n/e","n/e"
"17.02.2021 12:00 - 17.02.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","2886","n/e","n/e"
"17.02.2021 13:00 - 17.02.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","2719","n/e","n/e"
"17.02.2021 14:00 - 17.02.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","2494","n/e","n/e"
"17.02.2021 15:00 - 17.02.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","2214","n/e","n/e"
"17.02.2021 16:00 - 17.02.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","1904","n/e","n/e"
"17.02.2021 17:00 - 17.02.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","1629","n/e","n/e"
"17.02.2021 18:00 - 17.02.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","1422","n/e","n/e"
"17.02.2021 19:00 - 17.02.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","1257","n/e","n/e"
"17.02.2021 20:00 - 17.02.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","1134","n/e","n/e"
"17.02.2021 21:00 - 17.02.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","1063","n/e","n/e"
"17.02.2021 22:00 - 17.02.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","1045","n/e","n/e"
"17.02.2021 23:00 - 18.02.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","1088","n/e","n/e"
"18.02.2021 00:00 - 18.02.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","1316","n/e","n/e"
"18.02.2021 01:00 - 18.02.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","1283","n/e","n/e"
"18.02.2021 02:00 - 18.02.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","1417","n/e","n/e"
"18.02.2021 03:00 - 18.02.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","1404","n/e","n/e"
"18.02.2021 04:00 - 18.02.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","1333","n/e","n/e"
"18.02.2021 05:00 - 18.02.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","1213","n/e","n/e"
"18.02.2021 06:00 - 18.02.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","1141","n/e","n/e"
"18.02.2021 07:00 - 18.02.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","1245","n/e","n/e"
"18.02.2021 08:00 - 18.02.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","1408","n/e","n/e"
"18.02.2021 09:00 - 18.02.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","1645","n/e","n/e"
"18.02.2021 10:00 - 18.02.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","1926","n/e","n/e"
"18.02.2021 11:00 - 18.02.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","2192","n/e","n/e"
"18.02.2021 12:00 - 18.02.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","2405","n/e","n/e"
"18.02.2021 13:00 - 18.02.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","2569","n/e","n/e"
"18.02.2021 14:00 - 18.02.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","2666","n/e","n/e"
"18.02.2021 15:00 - 18.02.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","2655","n/e","n/e"
"18.02.2021 16:00 - 18.02.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","2503","n/e","n/e"
"18.02.2021 17:00 - 18.02.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","2258","n/e","n/e"
"18.02.2021 18:00 - 18.02.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","2019","n/e","n/e"
"18.02.2021 19:00 - 18.02.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","1828","n/e","n/e"
"18.02.2021 20:00 - 18.02.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","1712","n/e","n/e"
"18.02.2021 21:00 - 18.02.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","1654","n/e","n/e"
"18.02.2021 22:00 - 18.02.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","1669","n/e","n/e"
"18.02.2021 23:00 - 19.02.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","1783","n/e","n/e"
"19.02.2021 00:00 - 19.02.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","4134","n/e","n/e"
"19.02.2021 01:00 - 19.02.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","4382","n/e","n/e"
"19.02.2021 02:00 - 19.02.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","4563","n/e","n/e"
"19.02.2021 03:00 - 19.02.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","4624","n/e","n/e"
"19.02.2021 04:00 - 19.02.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","4658","n/e","n/e"
"19.02.2021 05:00 - 19.02.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","4659","n/e","n/e"
"19.02.2021 06:00 - 19.02.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","4662","n/e","n/e"
"19.02.2021 07:00 - 19.02.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","4695","n/e","n/e"
"19.02.2021 08:00 - 19.02.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","4693","n/e","n/e"
"19.02.2021 09:00 - 19.02.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","4627","n/e","n/e"
"19.02.2021 10:00 - 19.02.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","4522","n/e","n/e"
"19.02.2021 11:00 - 19.02.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","4392","n/e","n/e"
"19.02.2021 12:00 - 19.02.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","4283","n/e","n/e"
"19.02.2021 13:00 - 19.02.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","4182","n/e","n/e"
"19.02.2021 14:00 - 19.02.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","4046","n/e","n/e"
"19.02.2021 15:00 - 19.02.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","3874","n/e","n/e"
"19.02.2021 16:00 - 19.02.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","3675","n/e","n/e"
"19.02.2021 17:00 - 19.02.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","3493","n/e","n/e"
"19.02.2021 18:00 - 19.02.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","3333","n/e","n/e"
"19.02.2021 19:00 - 19.02.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","3199","n/e","n/e"
"19.02.2021 20:00 - 19.02.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","3086","n/e","n/e"
"19.02.2021 21:00 - 19.02.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","2961","n/e","n/e"
"19.02.2021 22:00 - 19.02.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","2815","n/e","n/e"
"19.02.2021 23:00 - 20.02.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","2658","n/e","n/e"
"20.02.2021 00:00 - 20.02.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","1863","n/e","n/e"
"20.02.2021 01:00 - 20.02.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","1914","n/e","n/e"
"20.02.2021 02:00 - 20.02.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","1979","n/e","n/e"
"20.02.2021 03:00 - 20.02.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","1955","n/e","n/e"
"20.02.2021 04:00 - 20.02.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","1993","n/e","n/e"
"20.02.2021 05:00 - 20.02.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","2010","n/e","n/e"
"20.02.2021 06:00 - 20.02.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","1973","n/e","n/e"
"20.02.2021 07:00 - 20.02.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","2011","n/e","n/e"
"20.02.2021 08:00 - 20.02.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","2071","n/e","n/e"
"20.02.2021 09:00 - 20.02.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","2093","n/e","n/e"
"20.02.2021 10:00 - 20.02.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","2108","n/e","n/e"
"20.02.2021 11:00 - 20.02.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","2140","n/e","n/e"
"20.02.2021 12:00 - 20.02.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","2093","n/e","n/e"
"20.02.2021 13:00 - 20.02.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","2008","n/e","n/e"
"20.02.2021 14:00 - 20.02.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","1934","n/e","n/e"
"20.02.2021 15:00 - 20.02.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","1853","n/e","n/e"
"20.02.2021 16:00 - 20.02.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","1817","n/e","n/e"
"20.02.2021 17:00 - 20.02.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","1841","n/e","n/e"
"20.02.2021 18:00 - 20.02.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","1863","n/e","n/e"
"20.02.2021 19:00 - 20.02.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","1820","n/e","n/e"
"20.02.2021 20:00 - 20.02.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","1739","n/e","n/e"
"20.02.2021 21:00 - 20.02.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","1661","n/e","n/e"
"20.02.2021 22:00 - 20.02.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","1608","n/e","n/e"
"20.02.2021 23:00 - 21.02.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","1626","n/e","n/e"
"21.02.2021 00:00 - 21.02.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","2981","n/e","n/e"
"21.02.2021 01:00 - 21.02.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","3045","n/e","n/e"
"21.02.2021 02:00 - 21.02.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","3026","n/e","n/e"
"21.02.2021 03:00 - 21.02.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","2930","n/e","n/e"
"21.02.2021 04:00 - 21.02.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","2794","n/e","n/e"
"21.02.2021 05:00 - 21.02.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","2658","n/e","n/e"
"21.02.2021 06:00 - 21.02.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","2473","n/e","n/e"
"21.02.2021 07:00 - 21.02.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","2261","n/e","n/e"
"21.02.2021 08:00 - 21.02.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","2092","n/e","n/e"
"21.02.2021 09:00 - 21.02.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","1977","n/e","n/e"
"21.02.2021 10:00 - 21.02.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","1925","n/e","n/e"
"21.02.2021 11:00 - 21.02.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","1965","n/e","n/e"
"21.02.2021 12:00 - 21.02.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","2013","n/e","n/e"
"21.02.2021 13:00 - 21.02.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","1997","n/e","n/e"
"21.02.2021 14:00 - 21.02.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","1963","n/e","n/e"
"21.02.2021 15:00 - 21.02.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","1885","n/e","n/e"
"21.02.2021 16:00 - 21.02.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","1741","n/e","n/e"
"21.02.2021 17:00 - 21.02.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","1593","n/e","n/e"
"21.02.2021 18:00 - 21.02.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","1520","n/e","n/e"
"21.02.2021 19:00 - 21.02.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","1531","n/e","n/e"
"21.02.2021 20:00 - 21.02.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","1550","n/e","n/e"
"21.02.2021 21:00 - 21.02.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","1553","n/e","n/e"
"21.02.2021 22:00 - 21.02.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","1543","n/e","n/e"
"21.02.2021 23:00 - 22.02.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","1538","n/e","n/e"
"22.02.2021 00:00 - 22.02.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","1699","n/e","n/e"
"22.02.2021 01:00 - 22.02.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","1702","n/e","n/e"
"22.02.2021 02:00 - 22.02.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","1653","n/e","n/e"
"22.02.2021 03:00 - 22.02.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","1405","n/e","n/e"
"22.02.2021 04:00 - 22.02.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","1203","n/e","n/e"
"22.02.2021 05:00 - 22.02.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","1007","n/e","n/e"
"22.02.2021 06:00 - 22.02.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","840","n/e","n/e"
"22.02.2021 07:00 - 22.02.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","779","n/e","n/e"
"22.02.2021 08:00 - 22.02.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","763","n/e","n/e"
"22.02.2021 09:00 - 22.02.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","747","n/e","n/e"
"22.02.2021 10:00 - 22.02.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","707","n/e","n/e"
"22.02.2021 11:00 - 22.02.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","692","n/e","n/e"
"22.02.2021 12:00 - 22.02.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","797","n/e","n/e"
"22.02.2021 13:00 - 22.02.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","959","n/e","n/e"
"22.02.2021 14:00 - 22.02.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","1088","n/e","n/e"
"22.02.2021 15:00 - 22.02.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","1192","n/e","n/e"
"22.02.2021 16:00 - 22.02.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","1295","n/e","n/e"
"22.02.2021 17:00 - 22.02.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","1458","n/e","n/e"
"22.02.2021 18:00 - 22.02.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","1809","n/e","n/e"
"22.02.2021 19:00 - 22.02.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","2286","n/e","n/e"
"22.02.2021 20:00 - 22.02.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","2763","n/e","n/e"
"22.02.2021 21:00 - 22.02.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","3168","n/e","n/e"
"22.02.2021 22:00 - 22.02.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","3529","n/e","n/e"
"22.02.2021 23:00 - 23.02.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","3892","n/e","n/e"
"23.02.2021 00:00 - 23.02.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","4920","n/e","n/e"
"23.02.2021 01:00 - 23.02.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","4957","n/e","n/e"
"23.02.2021 02:00 - 23.02.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","4960","n/e","n/e"
"23.02.2021 03:00 - 23.02.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","4899","n/e","n/e"
"23.02.2021 04:00 - 23.02.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","4861","n/e","n/e"
"23.02.2021 05:00 - 23.02.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","4799","n/e","n/e"
"23.02.2021 06:00 - 23.02.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","4718","n/e","n/e"
"23.02.2021 07:00 - 23.02.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","4643","n/e","n/e"
"23.02.2021 08:00 - 23.02.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","4551","n/e","n/e"
"23.02.2021 09:00 - 23.02.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","4467","n/e","n/e"
"23.02.2021 10:00 - 23.02.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","4427","n/e","n/e"
"23.02.2021 11:00 - 23.02.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","4430","n/e","n/e"
"23.02.2021 12:00 - 23.02.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","4451","n/e","n/e"
"23.02.2021 13:00 - 23.02.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","4449","n/e","n/e"
