"MTU (UTC)","Generation - Solar  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Solar  [MW] Intraday / BZN|IE(SEM)","Generation - Solar  [MW] Current / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Offshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Current / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Onshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Current / BZN|IE(SEM)"
"03.01.2021 00:00 - 03.01.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","916","n/e","n/e"
"03.01.2021 01:00 - 03.01.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","973","n/e","n/e"
"03.01.2021 02:00 - 03.01.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","1021","n/e","n/e"
"03.01.2021 03:00 - 03.01.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","1061","n/e","n/e"
"03.01.2021 04:00 - 03.01.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","1070","n/e","n/e"
"03.01.2021 05:00 - 03.01.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","1084","n/e","n/e"
"03.01.2021 06:00 - 03.01.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","1093","n/e","n/e"
"03.01.2021 07:00 - 03.01.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","1140","n/e","n/e"
"03.01.2021 08:00 - 03.01.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","1207","n/e","n/e"
"03.01.2021 09:00 - 03.01.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","1266","n/e","n/e"
"03.01.2021 10:00 - 03.01.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","1299","n/e","n/e"
"03.01.2021 11:00 - 03.01.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","1313","n/e","n/e"
"03.01.2021 12:00 - 03.01.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","1260","n/e","n/e"
"03.01.2021 13:00 - 03.01.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","1265","n/e","n/e"
"03.01.2021 14:00 - 03.01.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","1264","n/e","n/e"
"03.01.2021 15:00 - 03.01.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","1267","n/e","n/e"
"03.01.2021 16:00 - 03.01.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","1276","n/e","n/e"
"03.01.2021 17:00 - 03.01.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","1340","n/e","n/e"
"03.01.2021 18:00 - 03.01.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","1410","n/e","n/e"
"03.01.2021 19:00 - 03.01.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","1436","n/e","n/e"
"03.01.2021 20:00 - 03.01.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","1439","n/e","n/e"
"03.01.2021 21:00 - 03.01.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","1448","n/e","n/e"
"03.01.2021 22:00 - 03.01.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","1416","n/e","n/e"
"03.01.2021 23:00 - 04.01.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","1391","n/e","n/e"
"04.01.2021 00:00 - 04.01.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","1279","n/e","n/e"
"04.01.2021 01:00 - 04.01.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","1268","n/e","n/e"
"04.01.2021 02:00 - 04.01.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","1263","n/e","n/e"
"04.01.2021 03:00 - 04.01.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","1314","n/e","n/e"
"04.01.2021 04:00 - 04.01.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","1367","n/e","n/e"
"04.01.2021 05:00 - 04.01.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","1370","n/e","n/e"
"04.01.2021 06:00 - 04.01.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","1348","n/e","n/e"
"04.01.2021 07:00 - 04.01.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","1323","n/e","n/e"
"04.01.2021 08:00 - 04.01.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","1308","n/e","n/e"
"04.01.2021 09:00 - 04.01.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","1278","n/e","n/e"
"04.01.2021 10:00 - 04.01.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","1221","n/e","n/e"
"04.01.2021 11:00 - 04.01.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","1158","n/e","n/e"
"04.01.2021 12:00 - 04.01.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","1115","n/e","n/e"
"04.01.2021 13:00 - 04.01.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","1104","n/e","n/e"
"04.01.2021 14:00 - 04.01.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","1111","n/e","n/e"
